Title,Content,predicted_virality
US Navy wants to reinstate fired captain of coronavirus-hit aircraft carrier – sources,"The Navy's leadership made the recommendation to reinstate Captain Brett Crozier to Defense Secretary Mark Esper on Friday, just three weeks after Crozier was relieved of command after the leak of a letter he wrote calling on the Navy for stronger measures to protect the crew.",364260720.64
Saudi Arabia abolishes flogging as punishment,"Saudi Arabia's court-ordered floggings, which sometimes extend to hundreds of lashes, have long drawn condemnation from human rights groups.",471.204
New North American trade deal to come into effect in July,"The new deal is set to replace the North American Free Trade Agreement, which US President Donald Trump claimed was unfair. It will come into force on July 1.",10329.147
Trump’s temporary Green Card ban aims to ‘turn off the faucet’ of new immigrant labour: Report,President Trump signed the executive order on Wednesday to suspend certain types of immigration into the US for 60 days to protect the jobs of Americans laid off due to the COVID-19 pandemic that has ravaged the country's economy.,2975105.28
Who’s affected by Trump’s US immigration ban?,US President Donald Trump wants to stop green card applicants from getting into the country for at least 60 days. What exactly does it mean and does he have the power to do it? ,147351.36
Afghanistan: Taliban rejects Ramadan ceasefire,The Afghan government had proposed a truce so that it could focus on its coronavirus response. The Taliban has attacked a series of government targets in recent weeks.,19543.786
"72 COVID-19 therapeutics trials underway, 211 in planning stages: FDA",Commissioner of Food and Drug Administration (FDA) Stephen M Hahn told reporters at a White House news conference on Friday that the work was under way on finding a vaccine for the coronavirus and the FDA had authorised two firms on vaccine trials.,46184148.992
"China’s second-quarter rebound already losing steam, data show","Small business confidence rose slightly after March’s strong rebound, but the pace of increase slowed, and a gauge of expectations dropped after gaining the previous month.",6783.672
Coronavirus plastic waste polluting the environment,"Gloves, masks and other personal protective equipment (PPE) are critical for those fighting the pandemic but are also widely used by the public. Still, because they're not always disposed of properly, environmentalists fear negative consequences for wildlife and the fight against plastic pollution.",136635293.696
China pressured EU to drop COVID disinformation criticism – sources,"The report was eventually released, albeit just before the start of the weekend Europe time and with some criticism of the Chinese government rearranged or removed, a sign of the balancing act Brussels is trying to pull off as the coronavirus outbreak scrambles international relations.",136832983.04
France Coronavirus Tracker: Region-wise data,"Coronavirus (Covid-19) Tracker: Total confirmed cases in France as of 25 April stand at 1,59,952 with 22,245 fatalities and 44,271 recoveries.The European country is the fourth worst affected nation in the world in terms of infections.",290373.632
Belgium to gradually ease virus lockdown in first half of May,Belgium’s partial lockdown has saved the health system from getting overwhelmed as more than 4 out of 10 available beds in intensive care units remained vacant at the peak of the outbreak more than two weeks ago.,1033181.76
China sees more imported coronavirus cases despite restrictions,"The total number of confirmed cases in China, where the virus first emerged in late December, is now 82,816. The death toll remained the same at 4,632, with no new deaths reported on April 24.",112084.896
No more today: UK’s new testing site closes for applications,"Prime Minister Boris Johnson’s office said that within two minutes of the portal’s opening, 5,000 home-testing kits had been ordered — the day’s capacity — and that another 15,000 slots at drive-through sites had also been snapped up.",3338397.44
Trump thinks report was incorrect on illness of North Korea’s Kim Jong Un,"U.S. officials acknowledge Kim does have a history of health problems and is overweight, and say that this does at least raise a credible possibility he has suffered some kind of health crisis, the source said.",1181772.928
"Coronavirus global updates, April 25: WHO says “no evidence” that recovered patients cannot be reinfected"," Coronavirus (COVID-19) Global Latest Updates: Among the worst-hit countries, the United States reported over nine lakh infections and more than 51,000 fatalities. New York accounted for the largest number of deaths (17,671), and 271,890 cases.",114738.096
China sends medical experts to advise on Kim Jong Un: Sources,An official familiar with U.S. intelligence said that Kim was known to have health problems but they had no reason to conclude he was seriously ill or unable eventually to reappear in public.,259075.264
"US coronavirus death toll doubles in 10 days to more than 50,000","More than 875,000 Americans have contracted the highly contagious respiratory illness COVID-19 caused by the virus, and on average about 2,000 have died every day this month, according to a Reuters tally.",36302.816
White House could alter virus briefings to limit Trump role,"For weeks, advisers have been urging the president to scale back his appearances at the briefings, saying that he should come before the cameras only when there is major news or a positive development to discuss, according to the officials.",8388072.96
COVID-19: Nikki Haley launches ‘Stop Communist China’ campaign,"More than 40,000 people have signed the 'Stop Communist China' petition by Friday night, hours after being launched by the former governor of South Carolina who has set a goal of getting 100,000 signatures.",112226.08
"Ecuador coronavirus cases top 22,000 after release of delayed tests","The government had reported 11,183 confirmed coronavirus cases across Ecuador on Thursday.",2.586
Canada mass shooting started with assault on girlfriend,Darren Campbell on Friday said the weekend shooting rampage started with an assault by the suspect on his girlfriend and ended with 22 people dead in communities across central and northern Nova Scotia.,122170.224
COVID-19: FDA warns against side effects of hydroxychloroquine,The FDA in a Drug Safety Communication said that hydroxychloroquine has been given Emergency Use Authorisation for the treatment of patients who have tested positive with coronavirus.,11447.529
Trump urged to suspend H1B and other foreign workers programmes,"On April 22, Trump issued the ""Proclamation Suspending Entry of Immigrants Who Present Risk to the US Labor Market During the Economic Recovery Following the COVID-19 Outbreak.""",3648.31
US will make sure other countries know that coronavirus originated in China: Pompeo,"""We're not going to let that happen again, and we're going to set up something, a system, which delivers an outcome which reduces the risk that anything like this can ever happen again, from China or from anyplace else,"" Secretary of State, Mike Pompeo said.",338884558.848
Just being sarcastic: Trump on his idea to inject Covid-19 patients with disinfectants,"Initially, the White House said that Trump's comments were being taken out of context. Later, Trump backtracked further, said he was just being sarcastic.",1700.613
France restricts sales of nicotine substitutes after coronavirus study,The health minister was referring to a study by researchers at Pitié-Salpêtrière hospital in Paris that showed that smokers were less infected with the virus than other people. It also showed that nicotine could prevent the virus from entering cells.,40018939.904
Countries take different approaches in lifting lockdown,"As governments and scientists fumble around, still struggling with so many unknowns, individuals are being left to take potentially life-affecting decisions.",797.132
Rights group slams Thailand’s repressive laws to intensify crackdown on COVID-19 critics,"Amnesty International has accused Thailand of using existing laws to target those who criticize the government for its handling of the coronavirus crisis. It said laws are used to censor ""false"" COVID-19 communications.",145509.728
"11,000 deaths: Ravaged nursing homes plead for more testing","An industry group says only about a third of the 15,000 nursing homes in the US have ready access to tests that can help isolate the sick and stop the spread.",36699.508
"China ‘will pay a price’ for causing ‘huge challenge’ for global economy, says Pompeo","China has come under increasing pressure from nations across the world, including the US, over the lack of transparency in its handling of the coronavirus pandemic, which has so far claimed more than 190,870 lives globally.",432804.032
Africa dangerously behind in global race for virus gear,"Even in the best scenario, the United Nations says 74 million test kits and 30,000 ventilators will be needed by the continent's 1.3 billion people this year.",2510.83
Iran Coronavirus Tracker: Region-wise cases and deaths,"Coronavirus (Covid-19) Iran Tracker: According to Iran's state-run IRNA news agency, its Health Minister Saeed Namaki said that in prior 18 days, the number of new patients have been reduced by 53 per cent and death toll by 30 per cent.",9274873.856
Panama’s coronavirus gender curfew sidelines transgender people,"Human Rights Watch has urged Panama's president to prevent discrimination against transgender people, following several reports of harassment.",189.079
"Coronavirus will make life hard for a long time, Angela Merkel says ","Despite positive developments in Germany, Chancellor Angela Merkel has cautioned that the pandemic has only just begun. She also said Germany should be prepared to open its pocketbook to help the EU. ",105896.224
NASA develops high-pressure ventilator to fight COVID-19,"VITAL is designed to treat patients with milder symptoms, thereby keeping country's limited supply of traditional ventilators available for patients with more severe COVID-19 symptoms, it said.",18121.546
Sieren’s China: EU won’t play Trump’s blame-Beijing game,"French President Emmanuel Macron told the Financial Times that ""there are clearly things that have happened that we don't know about.""",383.867
Millions of unused research animals killed in Germany,A new government report has revealed that millions more animals are killed every year in German labs that previously admitted. The Green party has accused officials of sugarcoating statistics.,25013.624
Trump approved of Georgia’s reopen plan before bashing it,"Trump has been urging states to begin reopening for two weeks, believing that certain portions of the country were now ready to resume aspects of normal life even against the recommendations of many of his own health experts.",2953174.784
"Coronavirus world latest updates, April 24: Death toll in US crosses 50,000","Coronavirus (COVID-19) Global Latest Updates: Global infections have passed 2.7 million, with deaths standing at just under 191,000. The US leads the chart with 869,000 cases, according to the Johns Hopkins tracker.",18040.124
Canada shooting erupted after domestic dispute,"Bodies were also found in four other communities, and authorities believe the shooter targeted his first victims but then began attacking randomly as he drove around.",5616.834
Virus pushes US unemployment toward highest since Depression,"In response to the deepening economic crisis, the House passed a nearly USD 500 billion spending package to help buckled businesses and hospitals.",589.811
US may never restore WHO funds after cutoff over Covid-19 pandemic: Pompeo,"Asked if he was urging a change in leadership of the WHO, Pompeo replied: ""Even more than that, it may be the case that the United States can never return to underwriting, having U.S. taxpayer dollars go to the WHO.""",11057188.864
Angela Merkel calls for international cooperation against coronavirus,"US President Donald Trump has announced he is halting funding for the World Health Organization to review how it has handled the outbreak, but Merkel lauded the agency's work in the fight against the coronavirus.",959434.176
Gilead disputes report that anti-coronavirus drug Remdesivir flopped in leaked trial,"In the Chinese trial remdesivir, given by intravenous infusion, failed to improve patients' condition or reduce the pathogen's presence in the bloodstream, according to draft documents published accidentally by the World Health Organization.",283818.144
Donald Trump bats for phased reopening of US economy,More than 95 per cent of the country's 330 million people are under stay-at-home order as a result of the social mitigation measures including social distancing being enforced till May 1.,54557.928
"Sunlight, heat and humidity weaken coronavirus, US official says","Trump said Americans might need to maintain social distancing into early summer, even though some states were showing signs of progress.",277.667
Trump thinks report was incorrect on illness of North Korea’s Kim Jong Un,"""I think the report was incorrect,"" Trump said at a daily White House briefing, adding that he had heard it was based on ""old documents.""Trump had said on Tuesday that he might contact North Korean officials to inquire about Kim.",8362912.768
Iran Guard commander threatens US Navy after Trump tweet,"Trump on Wednesday, facing a collapsing global energy market and the pandemic at home amid his re-election campaign, tweeted out a warning to Iran that he ordered the Navy to ""shoot down and destroy any and all Iranian gunboats if they harass our ships at sea.",342802726.912
Indian diaspora among worst-affected minority groups in UK due to Covid-19: NHS report,"Those identifying with Indian ethnicity made up the largest chunk under the ethnicity breakdown of data, at around 3 per cent of the overall death toll, adding up to 420 deaths.",13286.181
How the coronavirus has altered Iranians’ view of faith,"The Iranian government's handling of the COVID-19 health crisis is contradictory, as the statements of the mullahs are fueled by religion, but their decisions are often pragmatic. This is unsettling to many believers.	",379752.256
Indian national with COVID-19 found dead in Singapore,The Indian High Commission here said it was awaiting details on the exact circumstances under which the Indian national died.,198.721
WHO warns that malaria deaths in Africa could double this year,"The region has more than 25,000 confirmed cases of COVID-19, with more than 1,200 deaths, and governments working with partners such as the WHO are focusing on tackling the pandemic.",10247.006
Thailand’s tourist drought leaves space for shy sea mammal,Drone video footage released by the Department of National Parks shows a 30-strong herd of dugongs on Wednesday off Libong island in Trang province. They were feeding on sea grass and occasionally surfaced to breathe.,540198.208
Covid-19: Africa could slide into severe hunger crises as lockdowns continue,"Measures put in place to curb the coronavirus pandemic are pushing millions of people in Africa into severe hunger, relief agencies warn. The locust plague in eastern Africa could exacerbate the crisis.	",84195.456
26 million have sought US jobless aid since virus hit,"Economists are forecasting as many as 25 million jobs were lost in April after the economy purged 701,000 positions in March, which was the largest decline in 11 years.",3998.563
Merkel calls for international cooperation against virus,"""It goes without saying that when medication or a vaccination is found, tested, released and is ready for use, it must be available all around the world and affordable for the whole world"", said Angela Merkel.",1173075.2
"Too poor to buy, too scared to meet: Palestinians face joyless Ramadan","The holy fasting month is expected to start on Friday but, as elsewhere, Palestinians this year are facing the prospect of celebrations without the usual large gatherings for family meals or evening prayers, known as Tarawih.",750541.888
Japan officials puzzled by outbreak on docked cruise ship,"The outbreak on the Italian-operated Costa Atlantica surfaced Tuesday when officials from Nagasaki and Mitsubishi Heavy Industry, which is in charge of repairs and maintenance on the ship, announced that a crew member developed a cough and fever.",5560348.672
